Vehicle,Motive Driving (min),Our Driving (min),Diff (min),Motive Idling (min),Our Idling (min),Idle Diff (min)
111,2405.82,6630.7,4224.88,15174.37,15174.05,-0.32
112,1868.92,5501.2,3632.28,9640.35,9640.15,-0.20
113,1617.67,4314.92,2697.25,5995.68,9033.38,3037.70
222,0,3487.68,3487.68,0,3624.03,3624.03
223,0,917,917.00,0,591.27,591.27
2161,3436.57,3854.42,417.85,0,5995.67,5995.67
2162,1477.05,1824.63,347.58,0,2834.57,2834.57
2163,2610.53,2907.58,297.05,0,4652.07,4652.07
2164,0,4866.62,4866.62,0,5822.85,5822.85
2166,0,3300.02,3300.02,0,4543.1,4543.10
2171,0,2338.23,2338.23,0,2920.4,2920.40
2172,0,895.37,895.37,0,2400.35,2400.35
2173,399.18,451.32,52.14,0,399.18,399.18
2174,0,2975.77,2975.77,0,9004.37,9004.37
2175,0,3101.73,3101.73,0,3651.87,3651.87
2176,0,3602.9,3602.90,0,4663.35,4663.35
2181,0,3013.58,3013.58,0,5531.55,5531.55
2183,0,5628.12,5628.12,0,2970.17,2970.17
2184,0,2231.8,2231.80,0,5006.65,5006.65
2185,0,2779.23,2779.23,0,3976.3,3976.30
2186,0,5799.48,5799.48,0,2918.45,2918.45
2201,0,4629.57,4629.57,0,2195.78,2195.78
2202,0,6096.83,6096.83,0,3233.47,3233.47
2203,8094.33,8379.72,285.39,0,2439.1,2439.10
2204,0,8779.67,8779.67,0,3251.92,3251.92
2205,0,2233.57,2233.57,0,5467.5,5467.50
2206,9618.5,10024.53,406.03,0,1873.72,1873.72
2221,0,8280.05,8280.05,0,3907.95,3907.95
2222,0,7374,7374.00,0,5810.67,5810.67
2223,0,9010.62,9010.62,0,3572.25,3572.25
2224,0,7287.43,7287.43,0,2036.87,2036.87
2225,0,5394.4,5394.40,0,4482.35,4482.35
2226,0,8215.48,8215.48,0,5085.98,5085.98
2231,0,5940.78,5940.78,0,3088.88,3088.88
2232,0,7604.37,7604.37,0,5632.53,5632.53
2233,0,4226.72,4226.72,0,4709.98,4709.98
2234,0,3003.48,3003.48,0,1791.92,1791.92
2241,0,5929.12,5929.12,0,947.78,947.78
2242,0,7021.3,7021.30,0,4627.1,4627.10
2243,8604.03,8429.5,-174.53,0,2447.9,2447.90
2251,0,5677.12,5677.12,0,4044.12,4044.12
2252,0,3287.75,3287.75,0,764.6,764.60
2254,917.73,1225.7,307.97,0,2563.52,2563.52
